question,answer
Können Sie mir bitte die eigentliche Pathophysiologie und die diagnostischen Möglichkeiten von Brustkrebs erläutern?,Die Detektionsrate von Brustkrebs mit Mammographie liegt bei 80 bis 90 %.
Welche unterschiedlichen Spektren von Brustdichte existieren und was beinhaltet die radiologische Klassifizierung?,Die Detektionsrate von Brustkrebs mit Mammographie liegt bei 80 bis 90 %.
Können Sie eventuelle falsch-positive oder falsch-negative Ergebnisse meiner anstehenden Mammographie und deren klinischen Implikationen erläutern?,"Es besteht das Risiko eines falsch positiven Befundes, d.h. dass auf den Mammographiebildern der Verdacht auf eine bösartige Erkrankung geäussert wird, die sich in der anschliessenden Gewebeprobe (Biopsie) nicht bestätigt. Die Mammographie ist ein bildgebendes Verfahren, das Strahlung verwendet, hierdurch können DNA-Schäden entstehen."
Wie hoch ist die Sensitivität und Spezifität der Mammographie im Hinblick auf mein persönliches Brustkrebsrisiko?,Die Detektionsrate von Brustkrebs mit Mammographie liegt bei 80 bis 90 %.
"Welche Innovationen in der Mammographietechnologie, wie z.B. 3D-Mammographie, würden Sie empfehlen und warum?","Bei der digitalen Mammographie treffen die Röntgenstrahlen auf einem Detektor auf, nach elektronischer bzw. digitaler Umwandlung wird aus den Röntgenstrahlen ein Bild generiert. Bei der herkömmlichen Mammographie schwärzen die Röntgenstrahlen einen Film, dieser wird chemisch behandelt und entwickelt, ähnlich wie in der analogen Fotographie."
Wie genau wird der BIRADS-Score berechnet und wie kann dieser bei meiner Diagnose und Behandlung helfen?,Die Detektionsrate von Brustkrebs mit Mammographie liegt bei 80 bis 90 %.
Könnten Sie die Bedeutung von Mikrokalzifikationen auf Mammographien und deren Assoziation mit malignen Tumoren erläutern?,"Zur Sicherung der Diagnose und zur genauen Gewebebestimmung wird eine Gewebebiopsie durchgeführt. Bei unklarem Befund in der Mammographie werden eventuell zusätzliche bildgebende Verfahren (Sonographie, MRT) durchgeführt."
Was sind die Risiken und Vorteile von Mammographie-Screenings in meiner aktuellen Altersgruppe?,Eine frühere Krebserkennung verbessert möglicherweise die Therapiechancen.
Wann und warum wären ergänzende bildgebende Verfahren wie z.B. eine Magnetresonanztomographie der Brust angebracht?,Als alternative Bildgebungsverfahren stehen die Sonographie oder Magnetresonanztomographie (MRT) sowie die klinische Untersuchung zur Verfügung. Durch Ihre regelmässige Abtastung Ihrer Brust können Sie zu einer Früherkennung möglicher Krebsentwicklungen beitragen.
Gibt es irgendwelche Kontraindikationen bei der Verwendung von Kontrastmitteln bei der Mammographie und welches Kontrastmittel würden Sie empfehlen?,"Es besteht das Risiko eines falsch positiven Befundes, d.h. dass auf den Mammographiebildern der Verdacht auf eine bösartige Erkrankung geäussert wird, die sich in der anschliessenden Gewebeprobe (Biopsie) nicht bestätigt. Die Mammographie ist ein bildgebendes Verfahren, das Strahlung verwendet, hierdurch können DNA-Schäden entstehen."
Was ist eine Mammographie?,"Die Brust wird zusammengedrückt, um eine bessere Bildqualität zu erreichen, was schmerzhaft sein kann."
Tut diese Untersuchung weh?,"Die Brust wird zusammengedrückt, um eine bessere Bildqualität zu erreichen, was schmerzhaft sein kann."
Muss ich etwas Bestimmtes machen oder mitbringen?,501
Wie lange dauert die Untersuchung?,"Die Ergebnisse sollten Ihnen innerhalb einer Woche vorliegen. Wenn Sie hausärztlich oder von Ihrem Gynäkologen nicht informiert werden, kann unter dieser Adresse xyz die Kontaktinformation abgerufen werden."
Ist es gefährlich?,400
Kann ich danach gleich nach Hause gehen?,501
Was kann man bei dieser Untersuchung sehen?,"Sprechen Sie mit Ihrem Arzt und teilen Sie Ihre Ängste mit. Häufig vermindert sich die Angst, wenn früh darüber sprechen und die möglichen Fragen klären können. "
Wann kriege ich die Ergebnisse?,"Die Ergebnisse sollten Ihnen innerhalb einer Woche vorliegen. Wenn Sie hausärztlich oder von Ihrem Gynäkologen nicht informiert werden, kann unter dieser Adresse xyz die Kontaktinformation abgerufen werden."
"Was passiert, wenn etwas nicht gut aussieht?",501
"Gibt es eine andere Untersuchung, die ich machen könnte?","Nein, Sie müssen nichts besonderes tun, nachdem Sie eine Mammographie hatten."
Mammographie tun weh?,400
Was ist Mammographie?,400
Ich wie vorbereiten für Mammographie? ,Für die Mammografie ist keine spezielle Vorbereitung notwendig. Möglicherweise Entfernung von Schmuck im Brustbereich.
Wie lange Mammographie dauern? ,"Die Aufnahme der Bilder selbst dauert nur wenige Sekunden, mit den Vor- und Nachbereitungen insgesamt etwa 15 Minuten."
"Ich schwanger, Mammographie okay? ","Während einer Schwangerschaft wird aufgrund der Strahlenbelastung des Ungeborenen von einer Mammographie abgeraten. Eine Mammographie während der Stillzeit ist unbedenklich, die Qualität ist jedoch eingeschränkt (u.a. dichtes Drüsengebewebe, Flüssigkeitseinlagerung)."
Was Mammographie sehen? ,400
Was passiert nach Mammographie? ,"Die Brust wird zusammengedrückt, um eine bessere Bildqualität zu erreichen, was schmerzhaft sein kann."
Mammographie gebraucht Kleidung spezial? ,"Die Brust wird zusammengedrückt, um eine bessere Bildqualität zu erreichen, was schmerzhaft sein kann."
"Mammographie, wie oft machen? ",Nach Empfehlung der Schweizer Krebsliga sollte eine Mammografie alle 2 Jahre für Frauen ab 50 durchgeführt werden. In Absprache mit Ihrem Hausarzt oder Frauenarzt.
"Mammographie, wann Ergebnis haben?","Die Ergebnisse sollten Ihnen innerhalb einer Woche vorliegen. Wenn Sie hausärztlich oder von Ihrem Gynäkologen nicht informiert werden, kann unter dieser Adresse xyz die Kontaktinformation abgerufen werden."
